City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,Oron,4.8256,8.2343,77.7,86,100,4.05,NG,2023-01-18 03:07:46
254,Rio Cuarto,-33.1307,-64.3499,71.37,64,100,17.27,AR,2023-01-18 03:07:46
255,Miracema Do Tocantins,-9.5618,-48.3967,72.86,85,100,0.47,BR,2023-01-18 03:07:47
256,Singkang,2.1006,102.7994,81.86,68,95,7.67,MY,2023-01-18 03:07:47
257,Hojo,33.9766,132.7777,52.14,63,67,4.7,JP,2023-01-18 03:07:48
258,Sebinkarahisar,40.2883,38.4236,29.07,83,39,4.34,TR,2023-01-18 03:07:48
259,Olafsvik,64.8945,-23.7142,23.86,70,90,12.46,IS,2023-01-18 03:07:48
260,Florencia,43.7667,11.25,48.72,84,40,2.3,IT,2023-01-18 03:07:49
261,Shingu,33.7333,135.9833,54.48,47,88,2.39,JP,2023-01-18 03:07:49
262,Flinders,-34.5833,150.8552,87.26,63,44,8.01,AU,2023-01-18 03:07:50
263,Farah,32.5,62.5,37.65,59,100,1.74,AF,2023-01-18 03:07:50
264,Moranbah,-22.0016,148.0466,81.97,56,73,20.47,AU,2023-01-18 03:07:51
265,Kruisfontein,-34.0033,24.7314,70.88,77,100,4.59,ZA,2023-01-18 03:06:33
266,Los Llanos De Aridane,28.6585,-17.9182,58.75,77,100,8.05,ES,2023-01-18 03:07:51
267,Bowen,-20.0167,148.2333,78.69,75,100,20.58,AU,2023-01-18 03:07:52
268,High Level,58.5169,-117.136,5.99,100,99,4.32,CA,2023-01-18 03:07:52
269,Te Anau,-45.4167,167.7167,77.5,38,9,3.76,NZ,2023-01-18 03:07:53
270,Northam,51.0333,-4.2167,39.61,81,9,17.9,GB,2023-01-18 03:07:53
271,Namibe,-15.1961,12.1522,73.42,76,97,6.29,AO,2023-01-18 03:07:54
272,Ural,55.9078,94.7464,-25.71,99,86,1.79,RU,2023-01-18 03:07:54
273,Alice Springs,-23.7,133.8833,94.55,31,75,8.05,AU,2023-01-18 03:07:55
274,Fairbanks,64.8378,-147.7164,-5.91,81,20,4.61,US,2023-01-18 03:05:00
275,Sabha,27.0377,14.4283,51.82,36,0,11.25,LY,2023-01-18 03:07:55
276,Suntar,62.1444,117.6319,-58.86,98,95,1.7,RU,2023-01-18 03:07:56
277,Husavik,66.0449,-17.3389,24.4,81,100,14.63,IS,2023-01-18 03:07:57
278,Mega,4.05,38.3,57.58,40,12,7.23,ET,2023-01-18 03:07:57
279,Port Elizabeth,-33.918,25.5701,74.32,97,40,9.22,ZA,2023-01-18 03:08:58
280,Carhuamayo,-10.9167,-76.0333,36.9,85,95,1.61,PE,2023-01-18 03:08:58
281,Fukue,32.6881,128.8419,46.36,60,93,21.74,JP,2023-01-18 03:08:59
282,Ponta Delgada,37.7333,-25.6667,54.32,71,40,13.8,PT,2023-01-18 03:08:59
283,Biak,-0.9131,122.8766,80.13,76,100,1.05,ID,2023-01-18 03:09:00
284,Totness,5.8833,-56.3167,74.5,82,94,7.14,SR,2023-01-18 03:09:00
285,Broome,42.2506,-75.833,40.53,89,100,3.44,US,2023-01-18 03:09:00
286,Madison,34.7334,-86.5667,59.38,94,0,8.99,US,2023-01-18 03:05:19
287,Lata,40.1629,-8.3327,47.07,80,100,14.23,PT,2023-01-18 03:09:01
288,Rocha,-34.4833,-54.3333,64.2,93,0,5.5,UY,2023-01-18 03:08:00
289,Miranda De Ebro,42.6865,-2.947,37.98,85,82,8.03,ES,2023-01-18 03:09:02
290,Makurdi,7.7411,8.5121,74.53,22,3,4.88,NG,2023-01-18 03:09:03
291,San Carlos De Bariloche,-41.1456,-71.3082,57.24,54,34,4.65,AR,2023-01-18 03:09:03
292,Saint-Pierre,-21.3393,55.4781,80.91,69,0,24.16,RE,2023-01-18 03:09:04
293,Touros,-5.1989,-35.4608,78.64,79,99,11.83,BR,2023-01-18 03:06:43
